,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
588,556,YZZIZZZZZZYI,2,ZZZIZZZZZZZI,XIIIIIIIIIXI,3838,2050,234,66
589,578,YZYIYZZZZZYI,2,ZZZIZZZZZZZI,XIXIXIIIIIXI,3838,2690,234,69
590,581,YZYXZZZZZZZX,2,ZZZIZZZZZZZI,XIXXIIIIIIIX,3838,2817,234,71
591,156,ZYZYIIIIIIII,2,ZZZZIIIIIIII,IXIXIIIIIIII,3840,1280,235,6
592,586,YZZYIIIIIIXX,2,ZZZZIIIIIIII,XIIXIIIIIIXX,3840,2307,235,72
593,590,YZZYIIIIXXII,2,ZZZZIIIIIIII,XIIXIIIIXXII,3840,2316,235,73
594,594,YZZYIIXXIIII,2,ZZZZIIIIIIII,XIIXIIXXIIII,3840,2352,235,74
595,602,YZZYXXIIIIII,2,ZZZZIIIIIIII,XIIXXXIIIIII,3840,2496,235,76
596,194,YZYZIIIIIIII,2,ZZZZIIIIIIII,XIXIIIIIIIII,3840,2560,235,11
597,557,YZZZIZZZZZYI,2,ZZZZIZZZZZZI,XIIIIIIIIIXI,3966,2050,236,66
598,598,YZZYIYZZZZYI,2,ZZZZIZZZZZZI,XIIXIXIIIIXI,3966,2370,236,75
599,606,YZZYXZZZZZZX,2,ZZZZIZZZZZZI,XIIXXIIIIIIX,3966,2433,236,77
600,307,YZZZYIIIIIII,2,ZZZZZIIIIIII,XIIIXIIIIIII,3968,2176,237,60
601,613,YZZZZXIIIIXY,2,ZZZZZIIIIIIZ,XIIIIXIIIIXX,3969,2115,238,79
602,308,YZZZYIIIIIIZ,2,ZZZZZIIIIIIZ,XIIIXIIIIIII,3969,2176,238,60
603,309,YZZZYIIIIIZI,2,ZZZZZIIIIIZI,XIIIXIIIIIII,3970,2176,239,60
604,617,YZZZZXIIXYII,2,ZZZZZIIIIZII,XIIIIXIIXXII,3972,2124,240,80
605,310,YZZZYIIIIZII,2,ZZZZZIIIIZII,XIIIXIIIIIII,3972,2176,240,60
606,311,YZZZYIIIZIII,2,ZZZZZIIIZIII,XIIIXIIIIIII,3976,2176,241,60
607,621,YZZZZXXYIIII,2,ZZZZZIIZIIII,XIIIIXXXIIII,3984,2160,242,81
608,312,YZZZYIIZIIII,2,ZZZZZIIZIIII,XIIIXIIIIIII,3984,2176,242,60
609,313,YZZZYIZIIIII,2,ZZZZZIZIIIII,XIIIXIIIIIII,4000,2176,243,60
610,558,YZZZZIZZZZYI,2,ZZZZZIZZZZZI,XIIIIIIIIIXI,4030,2050,244,66
611,609,YZZZYXZZZZZX,2,ZZZZZIZZZZZI,XIIIXXIIIIIX,4030,2241,244,78
612,276,ZYZZZYIIIIII,2,ZZZZZZIIIIII,IXIIIXIIIIII,4032,1088,245,46
613,614,YZZZZYIIIIXX,2,ZZZZZZIIIIII,XIIIIXIIIIXX,4032,2115,245,79
614,618,YZZZZYIIXXII,2,ZZZZZZIIIIII,XIIIIXIIXXII,4032,2124,245,80
615,622,YZZZZYXXIIII,2,ZZZZZZIIIIII,XIIIIXXXIIII,4032,2160,245,81
616,314,YZZZYZIIIIII,2,ZZZZZZIIIIII,XIIIXIIIIIII,4032,2176,245,60
617,322,YZYYZYIIIIII,2,ZZZZZZIIIIII,XIXXIXIIIIII,4032,2880,245,70
618,559,YZZZZZIZZZYI,2,ZZZZZZIZZZZI,XIIIIIIIIIXI,4062,2050,246,66
619,560,YZZZZZZIZZYI,2,ZZZZZZZIZZZI,XIIIIIIIIIXI,4078,2050,247,66
620,625,YZZZZZYXZZZX,2,ZZZZZZZIZZZI,XIIIIIXXIIIX,4078,2097,247,82
621,561,YZZZZZZZIZYI,2,ZZZZZZZZIZZI,XIIIIIIIIIXI,4086,2050,248,66
622,562,YZZZZZZZZIYI,2,ZZZZZZZZZIZI,XIIIIIIIIIXI,4090,2050,249,66
623,629,YZZZZZZZYXZX,2,ZZZZZZZZZIZI,XIIIIIIIXXIX,4090,2061,249,83
624,563,YZZZZZZZZZYI,2,ZZZZZZZZZZZI,XIIIIIIIIIXI,4094,2050,250,66
625,512,ZYZZZZZZZZZY,2,ZZZZZZZZZZZZ,IXIIIIIIIIIX,4095,1025,251,53
626,564,YZZZZZZZZZYZ,2,ZZZZZZZZZZZZ,XIIIIIIIIIXI,4095,2050,251,66
627,630,YZZZZZZZYYZY,2,ZZZZZZZZZZZZ,XIIIIIIIXXIX,4095,2061,251,83
628,626,YZZZZZYYZZZY,2,ZZZZZZZZZZZZ,XIIIIIXXIIIX,4095,2097,251,82
629,610,YZZZYYZZZZZY,2,ZZZZZZZZZZZZ,XIIIXXIIIIIX,4095,2241,251,78
630,582,YZYYZZZZZZZY,2,ZZZZZZZZZZZZ,XIXXIIIIIIIX,4095,2817,251,71
